Target_HDS,Drug_Descriptor,Indication,Publication_Count,News_Count,Geography,Therapy_Area,Count_Trials,Grants,Alliances,Transactions,Total_Amount,Hot/Not
3,24,7,54,4,0,11,1,0,1,0,33.65,1
1,6,3,2000,5,0,1,5,0,0,2,968.24,1
2,22,13,9,0,0,6,0,0,0,0,0,0
4,6,13,2000,0,0,6,0,1,1,3,638.2242,1
3,24,14,54,0,0,14,1,0,1,0,0,1
2,20,2,2000,3,1,10,7,0,0,0,0,1
3,20,2,26,19,0,10,4,0,2,4,504.29,1
3,20,2,26,19,0,10,4,0,2,4,504.29,1
0,5,2,2000,11,0,10,7,0,0,2,111.16,1
3,22,2,2000,3,0,10,5,0,2,0,0,1
2,20,21,3,0,0,12,0,0,0,0,0,0
2,20,21,3,1,0,12,2,0,0,1,125.29,0
2,24,17,1,0,0,0,0,0,0,1,0.77,0
4,24,17,2000,3,1,0,0,1,1,0,0.5867,1
2,24,17,0,0,0,0,0,0,0,0,0,0
2,24,17,0,0,0,0,2,0,1,0,0,0
2,6,5,1,0,0,3,0,0,0,0,0,0
2,14,5,5,0,0,3,0,0,2,1,1.75,0
2,22,2,2,0,0,10,1,0,0,2,0,0
3,13,2,54,1,0,10,0,0,0,0,0,1
2,20,2,0,0,0,10,0,1,0,0,0.1607,0
2,24,2,2,3,1,10,2,0,1,1,20,0
2,20,2,3,1,0,10,0,0,2,2,184,0
2,20,2,9,0,0,10,0,0,0,0,0,0
2,20,2,3,0,0,10,0,0,0,0,0,0
2,4,2,0,0,0,10,0,0,0,0,0,0
2,22,2,1,0,0,10,0,0,0,0,0,0
3,20,2,26,19,0,10,4,0,2,4,504.29,1
4,13,2,7,0,0,10,10,0,2,0,2331,1
2,24,2,6,0,0,10,0,0,1,0,0,0
3,20,2,54,0,0,10,0,0,0,1,144.8,1
3,20,2,54,0,0,10,0,0,0,1,144.8,1
3,12,2,10,1,0,10,0,1,1,1,50.2953,1
4,20,2,1,0,0,10,0,0,0,0,0,1
2,20,2,0,1,0,10,1,0,0,1,33.15,0
2,24,17,0,3,0,0,1,0,0,0,0,0
4,24,7,54,0,0,11,0,0,1,0,85.33,1
4,6,12,2000,0,0,7,0,1,0,0,1.1061,1
3,20,5,2000,2,0,3,10,0,0,0,0,1
3,14,5,2000,6,0,3,1,0,1,1,264.5,1
2,4,12,0,0,0,7,0,1,1,1,123.4938,0
3,7,2,2000,2,1,10,2,0,0,2,949.3,1
3,20,2,2000,0,1,10,4,0,1,0,0,1
2,20,8,3,0,0,12,0,0,0,0,0,0
2,24,8,3,0,0,12,0,0,0,0,0,0
2,3,8,4,0,0,12,0,0,1,2,31.1449,0
2,20,8,4,0,0,12,0,0,2,0,32.2055,0
2,20,8,3,1,0,12,2,0,0,1,125.29,0
4,5,12,2000,0,0,7,0,0,0,0,0,1
2,17,12,0,0,0,7,0,0,2,0,0,0
2,5,12,0,0,0,7,0,0,0,0,0,0
2,20,20,2,0,0,0,0,0,0,0,0,0
2,24,4,3,0,0,8,1,0,1,0,0,0
2,20,4,0,0,0,8,0,0,0,0,0,0
2,20,4,6,0,1,8,1,0,1,0,0,0
2,24,4,4,0,0,8,0,1,0,1,2.124,0
3,22,4,54,0,0,8,1,0,1,1,2.2,1
2,24,4,4,0,0,8,0,1,0,1,2.124,0
0,14,0,2000,0,0,6,0,0,1,3,951.4814,1
3,24,6,2,0,0,0,0,1,0,0,0.2189,1
3,24,17,2,13,0,0,18,0,3,1,426.6,1
4,11,7,2000,0,0,11,0,0,2,2,1130.205,1
3,24,7,54,2,1,11,1,0,2,1,94762.85,1
2,24,16,54,0,0,4,1,0,1,0,0,1
2,24,16,54,0,0,4,0,0,1,0,0,1
2,24,16,54,2,0,4,0,1,1,0,1.725,1
2,20,16,54,2,0,4,0,1,2,2,286.7449,1
2,24,16,34,0,1,4,0,0,1,3,490.05,1
2,24,18,3,0,0,8,1,0,1,0,0,0
2,24,17,3,0,1,0,0,0,0,2,116.43,0
2,3,12,6,0,0,7,0,1,0,1,5.0387,0
2,22,2,0,0,0,10,0,0,0,0,0,0
3,24,2,54,0,0,10,1,0,0,0,0,1
3,24,2,54,0,0,10,1,0,0,0,0,1
2,24,10,0,0,0,15,0,0,0,0,0,0
2,24,24,0,0,0,2,0,0,1,0,0,0
2,24,17,0,0,0,0,0,0,0,1,0.77,0
2,24,17,0,0,0,0,0,0,0,1,0.77,0
2,24,17,1,0,0,0,0,0,0,1,0.77,0
2,24,17,1,0,0,0,0,0,0,1,0.77,0
2,24,17,1,0,0,0,0,0,0,1,0.77,0
3,24,17,2,13,0,0,18,0,3,1,426.6,1
3,24,17,2,0,0,0,2,0,2,0,89535,1
2,3,12,0,0,0,7,0,0,1,1,2.3,0
4,3,5,54,0,0,7,0,0,0,0,0,1
3,24,2,54,0,0,10,1,0,0,0,0,1
3,24,2,54,0,0,10,1,0,0,0,0,1
2,22,2,0,0,0,10,0,0,0,0,0,0
3,24,2,54,0,0,10,1,0,0,0,0,1
3,24,2,54,0,0,10,1,0,0,0,0,1
2,14,15,0,0,0,3,0,0,2,1,34,0
3,24,17,2,13,0,0,18,0,3,1,426.6,1
3,16,17,2,0,0,0,1,0,1,1,406.6,1
4,12,26,2000,1,0,10,0,0,3,2,2.9767,1
3,20,26,54,0,0,10,0,0,0,1,144.8,1
3,20,26,54,0,0,10,0,0,0,1,144.8,1
2,24,26,2,3,1,10,2,0,1,1,20,0
3,22,8,54,0,0,9,0,0,1,0,53.75,1
3,13,8,54,1,0,9,0,0,0,0,0,1
3,22,8,54,0,0,9,0,0,1,0,53.75,1
1,20,8,34,0,0,9,0,0,1,2,1941,1
1,20,8,34,0,0,9,0,0,1,2,1941,1
4,14,8,2000,0,0,9,0,0,0,0,0,1
4,22,14,54,8,0,14,6,0,2,2,700.0238,1
3,20,2,2000,3,0,10,6,0,0,0,0,1
0,5,2,2000,11,0,10,7,0,0,2,111.16,1
0,5,2,2000,0,0,10,1,0,1,2,111.16,1
2,4,9,0,0,0,4,0,0,0,0,0,0
3,24,5,2,13,0,3,18,0,3,1,426.6,1
2,4,12,5,0,0,7,0,0,0,0,0,0
2,4,12,0,0,0,7,0,0,0,0,0,0
2,4,12,0,0,0,7,0,0,0,0,0,0
2,4,12,0,2,0,7,0,0,1,2,9.8283,0
2,20,2,0,0,0,10,0,0,1,0,0,0
3,20,2,26,19,0,10,4,0,2,4,504.29,1
2,20,2,8,0,0,10,0,0,0,1,0,0
3,24,2,54,0,0,10,1,0,0,0,0,1
3,24,2,54,0,0,10,1,0,0,0,0,1
2,20,2,0,1,0,10,1,0,0,1,33.15,0
2,9,2,54,1,0,10,0,0,1,1,405.2864,1
2,20,2,3,0,0,10,0,0,0,1,0,0
2,9,26,6,0,0,10,1,0,0,0,0,0
4,11,22,2000,18,0,7,0,1,1,2,159.5391,1
4,11,22,2000,0,0,7,0,1,0,3,367.5895,1
4,11,22,2000,0,0,7,0,1,0,0,1.9998,1
4,17,22,2000,0,0,7,0,0,0,0,0,1
2,20,7,0,0,0,11,0,0,0,0,0,0
3,20,26,26,19,0,10,4,0,2,4,504.29,1
4,22,26,54,8,0,10,6,0,2,2,700.0238,1
4,20,26,54,5,0,10,0,0,1,1,1.1964,1
4,22,26,54,0,0,10,0,0,1,1,12.8347,1
3,19,26,54,0,0,10,0,0,1,0,0,1
3,19,26,54,0,0,10,0,0,1,0,0,1
2,9,26,0,0,0,10,0,0,0,0,0,0
1,22,26,26,0,0,10,0,0,0,2,275,1
4,11,26,16,0,0,10,0,0,2,3,889.72,1
2,3,22,8,0,0,7,0,0,0,1,1.84,0
4,14,23,2000,0,0,9,0,0,0,0,0,1
3,20,27,2000,2,0,6,10,0,0,0,0,1
3,14,27,2000,6,0,6,1,0,1,1,264.5,1
2,14,27,5,0,0,6,0,0,2,1,1.75,0
2,3,12,0,0,0,7,0,0,0,1,3,0
2,3,12,0,0,0,7,0,1,0,0,0.4563,0
2,3,12,3,0,0,7,0,0,0,0,0,0
0,24,0,2000,3,0,6,7,0,2,3,963.2814,1
2,3,12,5,0,0,7,0,0,0,0,0,0
4,12,2,2000,1,0,10,0,0,3,2,2.9767,1
4,13,2,7,3,0,10,3,0,2,0,2331,1
3,19,2,40,2,1,10,1,0,1,1,712.5,1
4,11,2,2000,0,0,10,0,0,0,1,12.8625,1
4,22,2,54,8,0,10,6,0,2,2,700.0238,1
3,24,2,54,0,0,10,1,0,0,0,0,1
3,24,2,54,0,0,10,1,0,0,0,0,1
2,24,2,0,3,0,10,3,0,1,1,116.2,0
2,10,2,0,0,1,10,4,0,0,0,0,0
4,20,26,1,0,0,10,0,0,0,1,314.5,1
2,12,26,0,0,0,10,0,0,1,2,25.87,0
2,5,21,0,0,0,7,0,0,0,0,0,0
0,5,21,2000,11,0,7,7,0,0,2,111.16,1
0,5,21,2000,0,0,7,1,0,1,2,111.16,1
2,20,2,3,0,0,10,0,1,1,2,184.1,0
4,24,17,2000,3,1,7,0,1,1,0,0.5867,1
4,15,2,0,0,0,10,0,0,2,0,2331,1
2,13,2,3,0,0,10,1,0,2,0,2331,1
2,22,2,0,0,0,10,0,0,0,0,0,0
4,20,2,54,1,0,10,3,0,2,1,4546.12,1
0,14,0,2000,6,0,6,7,0,2,3,963.2814,1
4,13,2,7,0,0,10,10,0,2,0,2331,1
2,5,12,4,0,1,7,0,0,0,0,0,0
2,5,12,2000,6,0,7,4,1,1,3,120.4997,1
4,11,12,2000,0,0,10,1,0,0,1,7.1725,1
4,11,12,2000,0,0,10,0,0,0,1,12.8625,1
2,22,17,3,0,0,0,0,0,0,0,0,0
